frame.number,ip.src,ip.dst,_ws.col.info
264,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
265,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
266,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
267,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3169 Ack=3077 Win=2048 Len=0 TSval=4271058294 TSecr=2596686646
268,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3169 Ack=3113 Win=2048 Len=0 TSval=4271058309 TSecr=2596686661
269,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
270,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
271,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3205 Ack=3149 Win=2048 Len=0 TSval=4271058331 TSecr=2596686683
272,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
273,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
274,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3241 Ack=3185 Win=2048 Len=0 TSval=4271058351 TSecr=2596686703
275,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
276,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
277,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3277 Ack=3221 Win=2048 Len=0 TSval=4271058372 TSecr=2596686724
278,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
279,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
280,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3313 Ack=3257 Win=2048 Len=0 TSval=4271058394 TSecr=2596686745
281,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
282,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
283,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3349 Ack=3293 Win=2048 Len=0 TSval=4271058413 TSecr=2596686764
284,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
285,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
